source,target,type
1.1,1.2 최대공약수와 최소공배수,PRECEDES
1.3,1.4 절댓값,PRECEDES
1.3,"1.5 정수와 유리수의 덧셈, 뺄셈",PRECEDES
1.4,"1.5 정수와 유리수의 덧셈, 뺄셈",PRECEDES
1.3,"1.6 정수와 유리수의 곱셈, 나눗셈",PRECEDES
1.4,"1.6 정수와 유리수의 곱셈, 나눗셈",PRECEDES
1.5,"1.6 정수와 유리수의 곱셈, 나눗셈",PRECEDES
1.3,1.7 유리수와 유한소수,PRECEDES
1.3,1.8 순환소수,PRECEDES
1.7,1.8 순환소수,PRECEDES
1.3,1.9 제곱근의 뜻과 성질,PRECEDES
1.3,1.10 무리수와 실수,PRECEDES
1.9,1.10 무리수와 실수,PRECEDES
1.3,1.11 실수의 대소 관계,PRECEDES
1.9,1.11 실수의 대소 관계,PRECEDES
1.1,1.11 실수의 대소 관계,PRECEDES
1.3,"1.12 제곱근의 곱셈과 나눗셈, 분모의 유리화",PRECEDES
1.4,"1.12 제곱근의 곱셈과 나눗셈, 분모의 유리화",PRECEDES
1.5,"1.12 제곱근의 곱셈과 나눗셈, 분모의 유리화",PRECEDES
1.6,"1.12 제곱근의 곱셈과 나눗셈, 분모의 유리화",PRECEDES
1.9,"1.12 제곱근의 곱셈과 나눗셈, 분모의 유리화",PRECEDES
1.3,1.13 제곱근의 덧셈과 뺄셈,PRECEDES
1.4,1.13 제곱근의 덧셈과 뺄셈,PRECEDES
1.5,1.13 제곱근의 덧셈과 뺄셈,PRECEDES
1.9,1.13 제곱근의 덧셈과 뺄셈,PRECEDES
1.3,2.1 문자와 식,PRECEDES
1.4,2.1 문자와 식,PRECEDES
1.5,2.1 문자와 식,PRECEDES
1.6,2.1 문자와 식,PRECEDES
1.3,2.2 일차식의 사칙 연산,PRECEDES
1.4,2.2 일차식의 사칙 연산,PRECEDES
1.5,2.2 일차식의 사칙 연산,PRECEDES
1.6,2.2 일차식의 사칙 연산,PRECEDES
2.1,2.2 일차식의 사칙 연산,PRECEDES
1.3,2.3 항등식,PRECEDES
1.4,2.3 항등식,PRECEDES
1.5,2.3 항등식,PRECEDES
1.6,2.3 항등식,PRECEDES
2.1,2.3 항등식,PRECEDES
2.2,2.3 항등식,PRECEDES
1.3,2.4 일차방정식의 풀이,PRECEDES
1.4,2.4 일차방정식의 풀이,PRECEDES
